2025-11-30 14:23:19.293616, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:19.502078, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:19.711637, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:19.919723, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:20.128052, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:20.336675, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:20.545977, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:20.754434, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:20.964412, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:21.174159, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:21.382540, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:21.591607, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:21.800681, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:22.010760, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:22.218380, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
